,ds,location,Area_Marla,bedrooms,bathrooms,yhat
323,2022-12-30,"D-12, Islamabad",4.4,4,4,33007683.046912298
324,2022-12-31,"D-12, Islamabad",4.4,4,4,31521531.4233841
325,2023-01-01,"D-12, Islamabad",4.4,4,4,31537361.99258811
326,2023-01-02,"D-12, Islamabad",4.4,4,4,35592012.556431875
327,2023-01-03,"D-12, Islamabad",4.4,4,4,38812879.91865771
328,2023-01-04,"D-12, Islamabad",4.4,4,4,31584853.375096746
329,2023-01-05,"D-12, Islamabad",4.4,4,4,36805603.523359224
330,2023-01-06,"D-12, Islamabad",4.4,4,4,33118496.56034022
331,2023-01-07,"D-12, Islamabad",4.4,4,4,31632344.93679447
332,2023-01-08,"D-12, Islamabad",4.4,4,4,31648175.5060113
333,2023-01-09,"D-12, Islamabad",4.4,4,4,35702826.06984781
334,2023-01-10,"D-12, Islamabad",4.4,4,4,38923693.43208272
335,2023-01-11,"D-12, Islamabad",4.4,4,4,31695666.88851966
336,2023-01-12,"D-12, Islamabad",4.4,4,4,36916417.03677083
337,2023-01-13,"D-12, Islamabad",4.4,4,4,33229310.073745765
338,2023-01-14,"D-12, Islamabad",4.4,4,4,31743158.45020485
339,2023-01-15,"D-12, Islamabad",4.4,4,4,31758989.01943448
340,2023-01-16,"D-12, Islamabad",4.4,4,4,35813639.58326156
341,2023-01-17,"D-12, Islamabad",4.4,4,4,39034506.94548961
342,2023-01-18,"D-12, Islamabad",4.4,4,4,31806480.40193422
343,2023-01-19,"D-12, Islamabad",4.4,4,4,37027230.55019231
344,2023-01-20,"D-12, Islamabad",4.4,4,4,33340123.587162487
345,2023-01-21,"D-12, Islamabad",4.4,4,4,31853971.963615224
346,2023-01-22,"D-12, Islamabad",4.4,4,4,31869802.532841433
347,2023-01-23,"D-12, Islamabad",4.4,4,4,35924453.09666345
348,2023-01-24,"D-12, Islamabad",4.4,4,4,39145320.458896495
349,2023-01-25,"D-12, Islamabad",4.4,4,4,31917293.915348783
350,2023-01-26,"D-12, Islamabad",4.4,4,4,37138044.063608855
351,2023-01-27,"D-12, Islamabad",4.4,4,4,33450937.100590236
